timestamp,hour,hour_of_day,is_weekday,LP1_powered,LP1_demand_kw,LP1_effective_kw,LP2_powered,LP2_demand_kw,LP2_effective_kw,LP3_powered,LP3_demand_kw,LP3_effective_kw,LP4_powered,LP4_demand_kw,LP4_effective_kw,LP5_powered,LP5_demand_kw,LP5_effective_kw,LP6_powered,LP6_demand_kw,LP6_effective_kw,LP7_powered,LP7_demand_kw,LP7_effective_kw,LP8_powered,LP8_demand_kw,LP8_effective_kw
1/1/2024 0:00,0,0,1,1,3.77,3.77,1,3.47,3.47,1,9.85,9.85,1,33.26,33.26,0,1.32,0,0,2.89,0,0,1.16,0,1,12.61,12.61
1/1/2024 1:00,1,1,1,1,3.97,3.97,1,4.15,4.15,1,12.2,12.2,1,33.56,33.56,0,1.33,0,0,2.64,0,0,1.26,0,1,10.9,10.9
1/1/2024 2:00,2,2,1,1,3.48,3.48,1,3.21,3.21,1,10.65,10.65,1,38.82,38.82,0,1.47,0,0,3.09,0,0,1.07,0,1,10.35,10.35
1/1/2024 3:00,3,3,1,1,4.03,4.03,1,3.59,3.59,1,10.37,10.37,1,38.04,38.04,0,1.24,0,0,3.11,0,0,1.33,0,1,12.78,12.78
1/1/2024 4:00,4,4,1,1,3.89,3.89,1,3.54,3.54,1,10.65,10.65,1,31.94,31.94,0,1.32,0,0,3.09,0,0,0.99,0,1,12.74,12.74
1/1/2024 5:00,5,5,1,1,4.25,4.25,1,3.64,3.64,1,10.33,10.33,1,38.07,38.07,0,1.22,0,0,3.02,0,0,1.14,0,1,12.12,12.12
1/1/2024 6:00,6,6,1,1,4.18,4.18,0,3.42,0,0,9.36,0,1,61.75,61.75,0,1.15,0,0,22.58,0,0,14.38,0,1,12.48,12.48
1/1/2024 7:00,7,7,1,1,4.21,4.21,1,69.87,69.87,1,10.69,10.69,1,59.03,59.03,0,1.33,0,0,22.88,0,0,17.22,0,0,0,0
1/1/2024 8:00,8,8,1,1,33.79,33.79,1,66.08,66.08,1,36.91,36.91,1,50.2,50.2,0,19.94,0,0,25.11,0,0,15.12,0,0,0,0
1/1/2024 9:00,9,9,1,1,37.55,37.55,1,66.16,66.16,1,42.11,42.11,1,27.2,27.2,1,16.25,16.25,1,28.19,28.19,1,13.97,12.92,0,0,0
1/1/2024 10:00,10,10,1,1,34.82,34.82,1,55.56,55.56,1,36.44,36.44,1,30.34,30.34,1,20.72,20.72,1,24.78,24.78,1,16.74,10.68,0,0,0
1/1/2024 11:00,11,11,1,1,31.86,31.86,1,63.13,63.13,1,34.57,34.57,1,35.04,35.04,1,19.51,19.51,1,25.02,25.02,1,1.05,1.05,0,0,0
1/1/2024 12:00,12,12,1,1,31.13,31.13,1,60.09,60.09,1,43.81,43.81,1,29.14,29.14,1,20.76,20.76,1,28.01,28.01,1,0.97,0.97,0,0,0
1/1/2024 13:00,13,13,1,1,31.43,31.43,1,58.33,58.33,1,38.08,38.08,1,31.93,31.93,1,19.95,19.95,1,24.28,24.28,1,1.06,1.06,0,0,0
1/1/2024 14:00,14,14,1,1,34.85,34.85,1,59.51,59.51,1,43.22,43.22,1,28.88,28.88,1,21.21,21.21,1,22.48,22.48,1,1.18,1.18,0,0,0
1/1/2024 15:00,15,15,1,1,29.74,29.74,1,62.37,62.37,1,42.33,42.33,1,34.59,34.59,1,21.39,21.39,1,25.05,25.05,1,15.04,15.04,0,0,0
1/1/2024 16:00,16,16,1,1,33.69,33.69,1,64.94,64.94,1,42.26,42.26,1,30.55,30.55,1,19.89,19.89,1,27.54,27.54,1,14.75,14.75,0,0,0
1/1/2024 17:00,17,17,1,1,31.06,31.06,1,67.57,67.57,1,39.67,39.67,1,27.5,27.5,0,21.02,0,0,26.07,0,0,15.22,0,0,0,0
1/1/2024 18:00,18,18,1,1,3.52,3.52,1,67.33,67.33,0,41.33,0,1,54.09,54.09,1,20.96,12.46,0,24.74,0,0,12.3,0,1,12.6,12.6
1/1/2024 19:00,19,19,1,1,3.57,3.57,1,64.11,64.11,0,39.57,0,1,53.71,53.71,1,17.73,14.89,0,20.6,0,0,18.71,0,1,13.71,13.71
1/1/2024 20:00,20,20,1,1,3.91,3.91,1,62.93,62.93,0,44.92,0,1,58.4,58.4,1,18.19,12.22,0,21.34,0,0,15.16,0,1,12.54,12.54
