timestamp,hour,hour_of_day,day_of_year,month,is_weekday,solar_pv_availability_fraction,solar_pv_output_kw,diesel_available,diesel_dispatched_kw,diesel_on,diesel_fuel_consumed_litres,diesel_fuel_price_NGN_per_litre,diesel_cost_NGN,battery_soc_kwh,battery_charge_kw,battery_discharge_kw,total_generation_kw,total_available_kw
2024-01-01 00:00:00,0,0,0,1,1,0.0,0.0,1,0.0,0,0.0,1138.79,0.0,530.03,0.0,62.97,0.0,62.97
2024-01-01 01:00:00,1,1,0,1,1,0.0,0.0,1,0.0,0,0.0,1070.53,0.0,458.06,0.0,64.77,0.0,64.77
2024-01-01 02:00:00,2,2,0,1,1,0.0,0.0,1,0.0,0,0.0,1100.2,0.0,384.16,0.0,66.51,0.0,66.51
2024-01-01 03:00:00,3,3,0,1,1,0.0,0.0,1,0.0,0,0.0,1051.89,0.0,307.69,0.0,68.82,0.0,68.82
2024-01-01 04:00:00,4,4,0,1,1,0.0,0.0,1,37.5,1,17.5,1072.36,18766.3,237.96,0.0,62.76,37.5,100.26
2024-01-01 05:00:00,5,5,0,1,1,0.0,0.0,1,37.5,1,17.5,1053.88,18442.9,161.94,0.0,68.41,37.5,105.91
2024-01-01 06:00:00,6,6,0,1,1,0.0,0.0,1,40.97,1,18.194,1107.65,20152.95,120.0,0.0,37.75,40.97,78.72
2024-01-01 07:00:00,7,7,0,1,1,0.1147,57.35,1,86.45,1,27.29,1073.1,29285.2,120.0,0.0,0.0,143.8,143.8
2024-01-01 08:00:00,8,8,0,1,1,0.3075,153.76,1,37.5,1,17.5,1124.6,19680.5,120.0,0.0,0.0,191.26,191.26
2024-01-01 09:00:00,9,9,0,1,1,0.4608,230.38,1,0.0,0,0.0,1120.76,0.0,120.0,0.0,0.0,230.38,230.38
2024-01-01 10:00:00,10,10,0,1,1,0.4267,213.33,1,0.0,0,0.0,1109.26,0.0,120.0,0.0,0.0,213.33,213.33
2024-01-01 11:00:00,11,11,0,1,1,0.5058,252.88,1,0.0,0,0.0,1031.29,0.0,158.43,42.7,0.0,252.88,252.88
2024-01-01 12:00:00,12,12,0,1,1,0.6582,329.09,1,0.0,0,0.0,1097.49,0.0,262.09,115.18,0.0,329.09,329.09
2024-01-01 13:00:00,13,13,0,1,1,0.5314,265.69,1,0.0,0,0.0,1113.9,0.0,316.67,60.65,0.0,265.69,265.69
2024-01-01 14:00:00,14,14,0,1,1,0.5667,283.33,1,0.0,0,0.0,1119.31,0.0,381.47,72.0,0.0,283.33,283.33
2024-01-01 15:00:00,15,15,0,1,1,0.3395,169.76,1,0.0,0,0.0,1064.31,0.0,313.96,0.0,60.75,169.76,230.51
2024-01-01 16:00:00,16,16,0,1,1,0.2136,106.79,1,0.0,0,0.0,1099.53,0.0,173.05,0.0,126.83,106.79,233.62
2024-01-01 17:00:00,17,17,0,1,1,0.15,74.99,1,43.06,1,18.613,1082.77,20153.48,120.0,0.0,47.74,118.06,165.8
2024-01-01 18:00:00,18,18,0,1,1,0.0,0.0,1,150.0,1,40.0,1088.45,43538.0,120.0,0.0,0.0,150.0,150.0
2024-01-01 19:00:00,19,19,0,1,1,0.0,0.0,1,150.0,1,40.0,1151.02,46040.8,120.0,0.0,0.0,150.0,150.0
2024-01-01 20:00:00,20,20,0,1,1,0.0,0.0,1,150.0,1,40.0,1088.49,43539.6,120.0,0.0,0.0,150.0,150.0
2024-01-01 21:00:00,21,21,0,1,1,0.0,0.0,1,102.33,1,30.467,1114.43,33953.05,120.0,0.0,0.0,102.33,102.33
2024-01-01 22:00:00,22,22,0,1,1,0.0,0.0,1,103.62,1,30.724,1145.12,35182.44,120.0,0.0,0.0,103.62,103.62
2024-01-01 23:00:00,23,23,0,1,1,0.0,0.0,1,84.46,1,26.892,1095.99,29473.83,120.0,0.0,0.0,84.46,84.46
2024-01-02 00:00:00,24,0,1,1,1,0.0,0.0,1,53.02,1,20.603,1111.01,22890.43,120.0,0.0,0.0,53.02,53.02
2024-01-02 01:00:00,25,1,1,1,1,0.0,0.0,1,53.85,1,20.77,1118.44,23229.85,120.0,0.0,0.0,53.85,53.85
2024-01-02 02:00:00,26,2,1,1,1,0.0,0.0,1,53.42,1,20.684,1116.88,23101.03,120.0,0.0,0.0,53.42,53.42
2024-01-02 03:00:00,27,3,1,1,1,0.0,0.0,1,55.59,1,21.117,1073.78,22675.5,120.0,0.0,0.0,55.59,55.59
2024-01-02 04:00:00,28,4,1,1,1,0.0,0.0,1,56.2,1,21.241,1117.29,23732.04,120.0,0.0,0.0,56.2,56.2
2024-01-02 05:00:00,29,5,1,1,1,0.0,0.0,1,48.43,1,19.685,1160.19,22838.6,120.0,0.0,0.0,48.43,48.43
2024-01-02 06:00:00,30,6,1,1,1,0.0,0.0,1,76.51,1,25.302,1063.01,26895.92,120.0,0.0,0.0,76.51,76.51
2024-01-02 07:00:00,31,7,1,1,1,0.1651,82.55,1,57.72,1,21.544,1143.49,24634.85,120.0,0.0,0.0,140.27,140.27
2024-01-02 08:00:00,32,8,1,1,1,0.2253,112.64,1,71.25,1,24.251,1118.74,27130.44,120.0,0.0,0.0,183.89,183.89
2024-01-02 09:00:00,33,9,1,1,1,0.2816,140.82,1,37.5,1,17.5,1093.29,19132.58,120.0,0.0,0.0,178.32,178.32
2024-01-02 10:00:00,34,10,1,1,1,0.5095,254.77,1,0.0,0,0.0,1181.65,0.0,150.1,33.44,0.0,254.77,254.77
2024-01-02 11:00:00,35,11,1,1,1,0.4892,244.61,1,0.0,0,0.0,1140.24,0.0,180.36,33.63,0.0,244.61,244.61
2024-01-02 12:00:00,36,12,1,1,1,0.3813,190.66,1,0.0,0,0.0,1074.64,0.0,132.85,0.0,42.76,190.66,233.43
2024-01-02 13:00:00,37,13,1,1,1,0.64,319.98,1,0.0,0,0.0,1117.24,0.0,222.74,99.89,0.0,319.98,319.98
2024-01-02 14:00:00,38,14,1,1,1,0.4588,229.41,1,0.0,0,0.0,1134.03,0.0,246.14,26.0,0.0,229.41,229.41
2024-01-02 15:00:00,39,15,1,1,1,0.4348,217.42,1,0.0,0,0.0,1108.43,0.0,235.38,0.0,9.68,217.42,227.11
2024-01-02 16:00:00,40,16,1,1,1,0.2815,140.73,1,0.0,0,0.0,1137.58,0.0,120.0,0.0,103.84,140.73,244.58
2024-01-02 17:00:00,41,17,1,1,1,0.1544,77.22,1,92.37,1,28.474,1112.52,31678.21,120.0,0.0,0.0,169.59,169.59
2024-01-02 18:00:00,42,18,1,1,1,0.0,0.0,1,150.0,1,40.0,1137.06,45482.4,120.0,0.0,0.0,150.0,150.0
2024-01-02 19:00:00,43,19,1,1,1,0.0,0.0,1,150.0,1,40.0,1162.85,46514.0,120.0,0.0,0.0,150.0,150.0
2024-01-02 20:00:00,44,20,1,1,1,0.0,0.0,1,150.0,1,40.0,1092.15,43686.0,120.0,0.0,0.0,150.0,150.0
2024-01-02 21:00:00,45,21,1,1,1,0.0,0.0,1,109.92,1,31.985,1121.54,35872.06,120.0,0.0,0.0,109.92,109.92
2024-01-02 22:00:00,46,22,1,1,1,0.0,0.0,0,0.0,0,0.0,1099.25,0.0,120.0,0.0,0.0,0.0,0.0
2024-01-02 23:00:00,47,23,1,1,1,0.0,0.0,0,0.0,0,0.0,1119.0,0.0,120.0,0.0,0.0,0.0,0.0
2024-01-03 00:00:00,48,0,2,1,1,0.0,0.0,1,60.6,1,22.119,1074.32,23763.37,120.0,0.0,0.0,60.6,60.6
2024-01-03 01:00:00,49,1,2,1,1,0.0,0.0,1,55.32,1,21.064,1094.64,23057.62,120.0,0.0,0.0,55.32,55.32
2024-01-03 02:00:00,50,2,2,1,1,0.0,0.0,1,54.96,1,20.992,1107.44,23246.87,120.0,0.0,0.0,54.96,54.96
2024-01-03 03:00:00,51,3,2,1,1,0.0,0.0,1,47.6,1,19.519,1144.04,22330.79,120.0,0.0,0.0,47.6,47.6
2024-01-03 04:00:00,52,4,2,1,1,0.0,0.0,1,49.21,1,19.842,1152.27,22862.79,120.0,0.0,0.0,49.21,49.21
2024-01-03 05:00:00,53,5,2,1,1,0.0,0.0,1,52.39,1,20.477,1069.77,21906.18,120.0,0.0,0.0,52.39,52.39
2024-01-03 06:00:00,54,6,2,1,1,0.0,0.0,1,68.96,1,23.792,1087.44,25872.57,120.0,0.0,0.0,68.96,68.96
2024-01-03 07:00:00,55,7,2,1,1,0.1334,66.68,1,69.88,1,23.976,1135.62,27227.31,120.0,0.0,0.0,136.56,136.56
2024-01-03 08:00:00,56,8,2,1,1,0.1456,72.81,1,129.67,1,35.933,1047.41,37636.89,120.0,0.0,0.0,202.48,202.48
2024-01-03 09:00:00,57,9,2,1,1,0.4544,227.21,1,0.0,0,0.0,1098.52,0.0,120.0,0.0,0.0,227.21,227.21
2024-01-03 10:00:00,58,10,2,1,1,0.5374,268.68,1,0.0,0,0.0,1110.75,0.0,141.85,24.28,0.0,268.68,268.68
2024-01-03 11:00:00,59,11,2,1,1,0.5262,263.11,1,0.0,0,0.0,1156.01,0.0,182.6,45.27,0.0,263.11,263.11
2024-01-03 12:00:00,60,12,2,1,1,0.6567,328.35,1,0.0,0,0.0,1137.04,0.0,287.84,116.94,0.0,328.35,328.35
2024-01-03 13:00:00,61,13,2,1,1,0.1675,83.76,1,0.0,0,0.0,1103.06,0.0,152.89,0.0,121.45,83.76,205.21
2024-01-03 14:00:00,62,14,2,1,1,0.1489,74.43,1,71.28,1,24.256,1101.68,26721.85,120.0,0.0,29.61,145.7,175.31
2024-01-03 15:00:00,63,15,2,1,1,0.2328,116.42,1,64.53,1,22.906,1105.64,25326.2,120.0,0.0,0.0,180.95,180.95
2024-01-03 16:00:00,64,16,2,1,1,0.2423,121.16,1,54.02,1,20.804,1164.92,24235.31,120.0,0.0,0.0,175.18,175.18
2024-01-03 17:00:00,65,17,2,1,1,0.1459,72.96,1,93.16,1,28.632,1099.69,31486.47,120.0,0.0,0.0,166.12,166.12
2024-01-03 18:00:00,66,18,2,1,1,0.0,0.0,1,150.0,1,40.0,1103.85,44154.0,120.0,0.0,0.0,150.0,150.0
2024-01-03 19:00:00,67,19,2,1,1,0.0,0.0,1,150.0,1,40.0,1125.78,45031.2,120.0,0.0,0.0,150.0,150.0
2024-01-03 20:00:00,68,20,2,1,1,0.0,0.0,1,150.0,1,40.0,1109.96,44398.4,120.0,0.0,0.0,150.0,150.0
2024-01-03 21:00:00,69,21,2,1,1,0.0,0.0,1,114.48,1,32.896,1107.41,36429.53,120.0,0.0,0.0,114.48,114.48
2024-01-03 22:00:00,70,22,2,1,1,0.0,0.0,1,101.66,1,30.332,1076.77,32660.08,120.0,0.0,0.0,101.66,101.66
