timestamp,hour,hour_of_day,is_weekday,LP1_powered,LP1_demand_kw,LP1_effective_kw,LP2_powered,LP2_demand_kw,LP2_effective_kw,LP3_powered,LP3_demand_kw,LP3_effective_kw,LP4_powered,LP4_demand_kw,LP4_effective_kw,LP5_powered,LP5_demand_kw,LP5_effective_kw,LP6_powered,LP6_demand_kw,LP6_effective_kw,LP7_powered,LP7_demand_kw,LP7_effective_kw,LP8_powered,LP8_demand_kw,LP8_effective_kw
2024-01-01 00:00:00,0,0,1,1,4.6,4.6,1,4.24,4.24,1,12.02,12.02,1,40.58,40.58,0,1.61,0.0,0,3.53,0.0,0,1.41,0.0,1,15.39,15.39
2024-01-01 01:00:00,1,1,1,1,4.85,4.85,1,5.06,5.06,1,14.88,14.88,1,40.94,40.94,0,1.62,0.0,0,3.23,0.0,0,1.54,0.0,1,13.3,13.3
2024-01-01 02:00:00,2,2,1,1,4.24,4.24,1,3.91,3.91,1,12.99,12.99,1,47.37,47.37,0,1.79,0.0,0,3.77,0.0,0,1.31,0.0,1,12.63,12.63
2024-01-01 03:00:00,3,3,1,1,4.92,4.92,1,4.38,4.38,1,12.65,12.65,1,46.41,46.41,0,1.52,0.0,0,3.79,0.0,0,1.62,0.0,1,15.59,15.59
2024-01-01 04:00:00,4,4,1,1,4.75,4.75,1,4.32,4.32,1,12.99,12.99,1,38.97,38.97,0,1.61,0.0,0,3.77,0.0,0,1.21,0.0,1,15.54,15.54
2024-01-01 05:00:00,5,5,1,1,5.19,5.19,1,4.44,4.44,1,12.6,12.6,1,46.45,46.45,0,1.48,0.0,0,3.69,0.0,0,1.39,0.0,1,14.79,14.79
2024-01-01 06:00:00,6,6,1,1,5.1,5.1,1,4.17,4.17,1,11.42,11.42,1,75.34,75.34,0,1.4,0.0,1,27.54,27.54,0,17.54,0.0,1,15.23,15.23
2024-01-01 07:00:00,7,7,1,1,5.14,5.14,0,85.24,0.0,1,13.04,13.04,0,72.02,0.0,0,1.63,0.0,1,27.92,27.92,0,21.01,0.0,0,0.0,0.0
2024-01-01 08:00:00,8,8,1,1,41.22,41.22,1,80.62,80.62,0,45.04,0.0,0,61.25,0.0,1,24.33,24.33,0,30.64,0.0,0,18.44,0.0,0,0.0,0.0
2024-01-01 09:00:00,9,9,1,1,45.81,45.81,1,80.72,80.72,1,51.37,51.37,1,33.18,33.18,0,19.83,0.0,0,34.39,0.0,1,17.04,14.92,0,0.0,0.0
