timestamp,hour,hour_of_day,day_of_year,month,is_weekday,solar_pv_availability_fraction,solar_pv_output_kw,diesel_available,diesel_dispatched_kw,diesel_on,diesel_fuel_consumed_litres,diesel_fuel_price_NGN_per_litre,diesel_cost_NGN,battery_soc_kwh,battery_charge_kw,battery_discharge_kw,total_generation_kw,total_available_kw,solar_forecast_t1h_kw,solar_forecast_t3h_kw,solar_forecast_t6h_kw,demand_forecast_t1h_kw,demand_forecast_t3h_kw,demand_forecast_t6h_kw,cumulative_daily_fuel_litres
2024-01-01 00:00:00,0,0,0,1,1,0.0,0.0,1,55.0,1,25.0,1138.79,28469.75,600.0,0.0,0.0,55.0,55.0,0.0,0.0,0.0,70.69,80.65,111.55,25.0
2024-01-01 01:00:00,1,1,0,1,1,0.0,0.0,1,55.0,1,25.0,1070.53,26763.25,600.0,0.0,0.0,55.0,55.0,5.62,0.0,60.68,74.93,69.13,188.25,50.0
2024-01-01 02:00:00,2,2,0,1,1,0.0,0.0,1,56.16,1,25.316,1100.2,27852.93,600.0,0.0,0.0,56.16,56.16,0.0,3.98,125.84,72.81,65.14,224.28,75.316
2024-01-01 03:00:00,3,3,0,1,1,0.0,0.0,1,56.04,1,25.283,1051.89,26595.08,600.0,0.0,0.0,56.04,56.04,0.0,0.0,179.98,69.15,127.25,235.32,100.599
2024-01-01 04:00:00,4,4,0,1,1,0.0,0.0,1,55.0,1,25.0,1072.36,26809.0,600.0,0.0,0.0,55.0,55.0,0.0,59.87,252.61,72.92,199.82,236.53,125.599
2024-01-01 05:00:00,5,5,0,1,1,0.0,0.0,1,56.29,1,25.352,1053.88,26718.08,600.0,0.0,0.0,56.29,56.29,0.0,128.8,212.09,115.53,237.57,191.74,150.951
2024-01-01 06:00:00,6,6,0,1,1,0.0,0.0,1,78.72,1,31.469,1107.65,34857.04,600.0,0.0,0.0,78.72,78.72,58.49,214.27,366.62,195.37,260.78,143.0,182.42
2024-01-01 07:00:00,7,7,0,1,1,0.1147,57.35,1,0.0,0,0.0,1073.1,0.0,600.0,0.0,0.0,57.35,57.35,145.4,171.79,319.64,257.15,202.7,197.01,182.42
2024-01-01 08:00:00,8,8,0,1,1,0.3075,153.76,1,0.0,0,0.0,1124.6,0.0,600.0,0.0,0.0,153.76,153.76,211.35,236.33,322.55,241.77,199.28,208.29,182.42
2024-01-01 09:00:00,9,9,0,1,1,0.4608,230.38,1,0.0,0,0.0,1120.76,0.0,600.0,0.0,0.0,230.38,230.38,231.39,423.75,218.29,223.39,233.11,189.25,182.42
2024-01-01 10:00:00,10,10,0,1,1,0.4267,213.33,1,0.0,0,0.0,1109.26,0.0,600.0,0.0,0.0,213.33,213.33,264.06,217.35,127.9,204.1,217.44,181.64,182.42
2024-01-01 11:00:00,11,11,0,1,1,0.5058,252.88,1,0.0,0,0.0,1031.29,0.0,638.43,42.7,0.0,252.88,252.88,365.31,250.68,86.79,214.0,222.35,195.06,182.42
2024-01-01 12:00:00,12,12,0,1,1,0.6582,329.09,1,0.0,0,0.0,1097.49,0.0,742.09,115.18,0.0,329.09,329.09,287.03,172.44,0.0,222.45,225.4,192.7,182.42
2024-01-01 13:00:00,13,13,0,1,1,0.5314,265.69,1,0.0,0,0.0,1113.9,0.0,796.67,60.65,0.0,265.69,265.69,287.07,107.78,0.17,204.64,239.4,214.56,182.42
2024-01-01 14:00:00,14,14,0,1,1,0.5667,283.33,1,0.0,0,0.0,1119.31,0.0,861.47,72.0,0.0,283.33,283.33,169.45,77.34,0.0,225.5,216.61,217.52,182.42
2024-01-01 15:00:00,15,15,0,1,1,0.3395,169.76,1,0.0,0,0.0,1064.31,0.0,861.47,0.0,0.0,169.76,169.76,113.02,0.0,0.0,226.11,222.27,136.91,182.42
2024-01-01 16:00:00,16,16,0,1,1,0.2136,106.79,1,0.0,0,0.0,1099.53,0.0,861.47,0.0,0.0,106.79,106.79,75.33,0.0,2.89,234.01,198.23,129.49,182.42
2024-01-01 17:00:00,17,17,0,1,1,0.15,74.99,1,0.0,0,0.0,1082.77,0.0,861.47,0.0,0.0,74.99,74.99,0.0,0.41,0.0,226.28,266.74,81.52,182.42
2024-01-01 18:00:00,18,18,0,1,1,0.0,0.0,1,110.0,1,40.0,1088.45,43538.0,861.47,0.0,0.0,110.0,110.0,0.0,0.0,1.37,251.36,158.38,65.26,222.42
2024-01-01 19:00:00,19,19,0,1,1,0.0,0.0,1,110.0,1,40.0,1151.02,46040.8,861.47,0.0,0.0,110.0,110.0,0.56,1.57,0.1,244.57,145.7,69.58,262.42
2024-01-01 20:00:00,20,20,0,1,1,0.0,0.0,1,110.0,1,40.0,1088.49,43539.6,861.47,0.0,0.0,110.0,110.0,4.01,0.0,0.58,180.74,112.2,73.76,302.42
2024-01-01 21:00:00,21,21,0,1,1,0.0,0.0,1,102.33,1,37.909,1114.43,42247.14,861.47,0.0,0.0,102.33,102.33,3.87,0.0,2.19,153.96,75.84,71.0,340.329
2024-01-01 22:00:00,22,22,0,1,1,0.0,0.0,1,103.62,1,38.26,1145.12,43811.99,861.47,0.0,0.0,103.62,103.62,0.0,1.33,1.42,92.2,72.03,90.04,378.589
2024-01-01 23:00:00,23,23,0,1,1,0.0,0.0,1,84.46,1,33.035,1095.99,36206.17,861.47,0.0,0.0,84.46,84.46,1.93,0.0,1.22,68.97,60.06,73.67,411.624
2024-01-02 00:00:00,24,0,1,1,1,0.0,0.0,1,55.0,1,25.0,1111.01,27775.25,861.47,0.0,0.0,55.0,55.0,2.11,0.0,1.01,70.29,76.44,122.62,25.0
2024-01-02 01:00:00,25,1,1,1,1,0.0,0.0,1,55.0,1,25.0,1118.44,27961.0,861.47,0.0,0.0,55.0,55.0,0.0,3.25,54.08,64.45,78.65,184.35,50.0
2024-01-02 02:00:00,26,2,1,1,1,0.0,0.0,1,55.0,1,25.0,1116.88,27922.0,861.47,0.0,0.0,55.0,55.0,2.0,6.24,70.58,77.26,70.37,210.16,75.0
2024-01-02 03:00:00,27,3,1,1,1,0.0,0.0,1,55.59,1,25.16,1073.78,27016.49,861.47,0.0,0.0,55.59,55.59,0.0,0.0,102.44,70.92,130.49,202.13,100.16
2024-01-02 04:00:00,28,4,1,1,1,0.0,0.0,1,56.2,1,25.328,1117.29,28299.01,861.47,0.0,0.0,56.2,56.2,0.0,79.57,272.3,64.03,161.75,191.36,125.488
2024-01-02 05:00:00,29,5,1,1,1,0.0,0.0,1,55.0,1,25.0,1160.19,29004.75,861.47,0.0,0.0,55.0,55.0,3.86,130.49,348.08,125.36,216.08,247.25,150.488
2024-01-02 06:00:00,30,6,1,1,1,0.0,0.0,1,76.51,1,30.866,1063.01,32810.76,861.47,0.0,0.0,76.51,76.51,92.18,143.55,199.23,163.27,248.83,252.0,181.354
2024-01-02 07:00:00,31,7,1,1,1,0.1651,82.55,1,0.0,0,0.0,1143.49,0.0,861.47,0.0,0.0,82.55,82.55,118.95,245.89,326.17,250.66,189.22,215.21,181.354
2024-01-02 08:00:00,32,8,1,1,1,0.2253,112.64,1,0.0,0,0.0,1118.74,0.0,861.47,0.0,0.0,112.64,112.64,140.49,268.62,291.17,201.24,217.81,211.54,181.354
2024-01-02 09:00:00,33,9,1,1,1,0.2816,140.82,1,0.0,0,0.0,1093.29,0.0,861.47,0.0,0.0,140.82,140.82,243.28,214.19,230.1,216.6,228.8,226.45,181.354
2024-01-02 10:00:00,34,10,1,1,1,0.5095,254.77,1,0.0,0,0.0,1181.65,0.0,891.57,33.44,0.0,254.77,254.77,287.53,368.31,151.43,211.3,219.14,239.13,181.354
2024-01-02 11:00:00,35,11,1,1,1,0.4892,244.61,1,0.0,0,0.0,1140.24,0.0,921.83,33.63,0.0,244.61,244.61,202.18,211.45,27.4,230.68,209.9,222.5,181.354
2024-01-02 12:00:00,36,12,1,1,1,0.3813,190.66,1,0.0,0,0.0,1074.64,0.0,921.83,0.0,0.0,190.66,190.66,277.93,225.76,4.62,220.35,249.12,246.77,181.354
2024-01-02 13:00:00,37,13,1,1,1,0.64,319.98,1,0.0,0,0.0,1117.24,0.0,1011.73,99.89,0.0,319.98,319.98,242.58,155.14,4.05,201.51,262.6,232.17,181.354
2024-01-02 14:00:00,38,14,1,1,1,0.4588,229.41,1,0.0,0,0.0,1134.03,0.0,1035.13,26.0,0.0,229.41,229.41,230.59,100.35,0.0,224.99,197.98,205.74,181.354
2024-01-02 15:00:00,39,15,1,1,1,0.4348,217.42,1,0.0,0,0.0,1108.43,0.0,1024.37,0.0,9.68,217.42,227.11,150.44,1.35,0.0,245.16,244.15,166.83,181.354
2024-01-02 16:00:00,40,16,1,1,1,0.2815,140.73,1,0.0,0,0.0,1137.58,0.0,960.0,0.0,57.93,140.73,198.66,73.15,0.0,1.27,223.55,295.4,118.59,181.354
2024-01-02 17:00:00,41,17,1,1,1,0.1544,77.22,1,0.0,0,0.0,1112.52,0.0,960.0,0.0,0.0,77.22,77.22,0.0,0.0,0.0,248.8,198.25,81.46,181.354
2024-01-02 18:00:00,42,18,1,1,1,0.0,0.0,1,110.0,1,40.0,1137.06,45482.4,960.0,0.0,0.0,110.0,110.0,0.0,3.09,0.0,248.32,154.46,77.68,221.354
2024-01-02 19:00:00,43,19,1,1,1,0.0,0.0,1,110.0,1,40.0,1162.85,46514.0,960.0,0.0,0.0,110.0,110.0,1.61,3.2,1.42,216.7,152.91,89.45,261.354
2024-01-02 20:00:00,44,20,1,1,1,0.0,0.0,1,110.0,1,40.0,1092.15,43686.0,960.0,0.0,0.0,110.0,110.0,0.0,1.68,0.0,157.43,73.08,82.18,301.354
2024-01-02 21:00:00,45,21,1,1,1,0.0,0.0,1,109.92,1,39.979,1121.54,44838.12,960.0,0.0,0.0,109.92,109.92,0.0,0.0,1.3,147.91,70.56,68.65,341.333
2024-01-02 22:00:00,46,22,1,1,1,0.0,0.0,0,0.0,0,0.0,1099.25,0.0,960.0,0.0,0.0,0.0,0.0,0.98,0.88,1.9,95.81,72.34,59.96,341.333
2024-01-02 23:00:00,47,23,1,1,1,0.0,0.0,0,0.0,0,0.0,1119.0,0.0,960.0,0.0,0.0,0.0,0.0,0.22,0.47,0.0,78.18,80.33,64.12,341.333
2024-01-03 00:00:00,48,0,2,1,1,0.0,0.0,1,60.6,1,26.527,1074.32,28497.98,960.0,0.0,0.0,60.6,60.6,0.9,0.0,0.77,74.98,60.73,126.89,26.527
2024-01-03 01:00:00,49,1,2,1,1,0.0,0.0,1,55.32,1,25.087,1094.64,27461.7,960.0,0.0,0.0,55.32,55.32,0.0,0.0,74.47,75.92,60.03,188.46,51.614
2024-01-03 02:00:00,50,2,2,1,1,0.0,0.0,1,55.0,1,25.0,1107.44,27686.0,960.0,0.0,0.0,55.0,55.0,0.95,0.0,74.85,57.99,62.67,217.78,76.614
